STT,Mã QR phế thải,Tên phế thải nhập vào,Tên phế thải xuất ra,Phòng ban,Kiểu cân,Số vạch,Số pallet,KL tổng(kg),KL bao bì(kg),KL phế thải(kg),Thời gian cân
1,N01W1F1GHU,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),F1-Guidehole,Cân Thường,0,0,200.00,0.00,200.00,1/22/2025 1:20:47 PM
2,N01W1F1GHU,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),F1-Guidehole,Cân Thường,0,0,200.00,0.00,200.00,1/22/2025 1:20:13 PM
3,N01W1F1GHU,Nhựa PP (nilon),White P plastic ( Phế liệu nhựa loại 6),F1-Guidehole,Cân Thường,0,0,200.00,0.00,200.00,1/22/2025 1:20:06 PM
4,N14W2F1CLP,Giấy chứa nilon,,F1-CL PRESS,Cân xe đẩy,0,0,70.50,45.00,25.50,1/22/2025 1:14:54 PM
