STT,Tên phế thải,Phòng ban,Số vạch,Số pallet,Loại tính toán,Kiểu cân,KL tổng(kg),KL bao bì(kg),KL phế thải(kg),Thời gian cân
1,Material roll by PVC plastic,Micro,0,0,Tự động,Cân Thường,508.00,0.00,508.00,1/8/2025 6:20:58 AM
2,Material roll by PVC plastic,Micro,0,0,Tự động,Cân Thường,508.00,0.00,508.00,1/8/2025 6:20:54 AM
3,Material roll by PVC plastic,Micro,0,0,Tự động,Cân Thường,508.00,0.00,508.00,1/8/2025 6:20:47 AM
4,Protected film from DFR roll,Etching,0,0,Tự động,Cân xe đẩy,507.00,27.00,480.00,1/8/2025 6:13:31 AM
