STT,Mã phế thải nhập vào,Mã phế thải xuất ra,Ngày chốt số liệu,Khối lượng nhập vào (kg),Khối lượng xuất ra (kg),Khối lượng tồn (kg)
1,N01W1,N01W1,20/01/2025,151.00,0,-151.00
2,N03W2,N03W2,20/01/2025,0,151.00,151.00
3,N01W3,N01W3,20/01/2025,150.00,0,-150.00
4,S01W1,S01W1,20/01/2025,0,150.00,150.00
5,S04W1,S04W1,20/01/2025,0,100.00,100.00
6,S13W3,S13W3,20/01/2025,0,100.00,100.00
7,S13W6,S13W6,20/01/2025,0,200.00,200.00
8,S13W14,S13W14,20/01/2025,0,148.00,148.00
9,S12W2,S12W2,20/01/2025,0,150.00,150.00
