STT,KL tổng (kg),KL bì (kg),KL phế thải (kg),Số thanh,Số pallet,QR phế thải,KL bao bì(kg),KL pallet(kg),KL/đơn vị(kg/đvi),Hệ số,Mã phế thải,Tên phế thải nội bộ,Tên phế thải ngoại bộ,Tên phế thải tiếng Anh,Tên lệnh cân,Tên nhóm,Đặc tính,Tên nhà thầu,Phòng ban/nhà máy,Phân loại,Loại hình cân,Phương pháp cân,Biển số xe,Thời gian tạo,Mã xe đẩy,Trọng lượng xe đẩy
1,180.00,0.00,180.00,0,0,N03W4TT,0.00,0.00,0.00,0.00,N03W4,Phế liệu dây chì thải,Dây chì,Aluminum 1,20250212-F1-GIAO-TT-18AE1234-01,Waste Metal,Tái chế,Thuận Thành,,Rác bán lấy tiền,Output,Cân Thường,18AE-1234,2/12/2025 3:40:50 PM,,0.00
2,180.00,0.00,180.00,0,0,N03W5TT,0.00,0.00,0.00,0.00,N03W5,Phế liệu nhôm,Aluminum (Phế liệu nhôm),Aluminum 2,20250212-F1-GIAO-TT-18AE1234-01,Waste Metal,Tái chế,Thuận Thành,,Rác bán lấy tiền,Output,Cân Thường,18AE-1234,2/12/2025 3:24:25 PM,,0.00
